Country Name;Country Code;Population;Average;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Greenland;GRL;56744;22847.5263759243;18326.9285151847;18315.3156087397;18768.8264960747;16797.3573901144;18124.1007573943;21665.8308063995;21422.4622168251;19145.6144069473;20496.5798031634;20170.322763798;19004.0034517255;19275.4328079683;20652.8412682386;25129.0765454895;28903.9358328181;29903.284035428;30620.2155288913;37516.7509225391;30883.0349660334;22507.8887155204;22507.8887155204;22507.8887155204
Australia;AUS;22620600;28538.462048096;18250.9569554584;18872.6545446104;18611.3095408303;17678.2833299814;18113.6312628702;20395.9267704288;21948.5886614752;23540.0645786121;21364.2051199611;20578.8265633407;21708.0372555598;19541.4220288069;20100.9881003624;23445.5965913141;30375.8259488707;33944.9839037717;35986.0676083624;40352.3939925097;48971.6768815687;42000.0123913499;51085.6840918268;60979.0289362397
United Kingdom;GBR;62641000;28581.6485930927;17687.6689513479;18386.5335827791;18960.4701223081;16997.9442064203;18328.3938481579;19943.7755222057;20966.2246628655;23459.7166056612;24995.8829022676;25625.2322472923;25057.613530497;24836.3585251979;26996.9720300824;31152.9877808091;36695.1447629797;38121.5629789246;40480.9613381285;46330.2458224367;43146.8294361945;35331.2809622312;36256.010958852;39038.4582704
Qatar;QAT;1870041;37771.9765706669;15537.4654494696;14253.770319127;15661.8007358652;14563.0895089648;14894.0887077059;16231.3172239407;17679.4519301149;21365.5059634065;18686.1726030841;21747.2958937371;30052.761195913;28843.4489414744;31023.0267981421;36011.9212403235;44292.0380067829;52424.8996325167;61836.3236691676;67516.1397543421;82388.8492650244;61075.0101993575;72397.6124039152;92501.4951122963
Brunei Darussalam;BRN;405938;21375.608420142;13963.5170020344;14272.4779071259;15680.8181183724;14964.0674552028;14494.1062408933;16345.9640648825;17213.3559796473;17055.7582029034;12975.4632290897;14390.5597927759;18350.1306212938;16752.2778194014;17106.5155143727;18801.2566050103;22116.8366768128;26248.4139805206;30975.3616552222;32442.9301630197;37414.3128155706;27390.050030207;31007.9937303292;40301.2176384364
Ireland;IRL;4487000;32619.5059003738;13604.446237942;13658.6506445528;15236.3261172945;14211.1685215981;15419.1353108786;18575.6234512309;20339.19485823;22086.7898160859;23733.7992426099;25679.5283559239;25629.6500966077;27339.708784257;31434.5573392777;39814.9269940962;45929.9286349105;48866.3921713995;52500.7028578456;59664.6777227766;59573.5707818989;50033.9549543859;45873.185132235;48423.2117821856
"Hong Kong SAR; China";HKG;7071600;25267.0121879519;13485.5448929565;15465.8588553349;17976.4293827655;20395.5173666776;22502.5797409692;23497.4923138193;24818.1545523517;27330.0333502807;25808.970952453;25091.6665997966;25756.6637783278;25230.2163329516;24665.8899982779;23977.0194516698;24928.1003722551;26649.750801707;28224.2150609389;30551.6114286761;31425.7819095352;30561.9051395959;32374.4802835292;35156.3855700729
Spain;ESP;46235000;20539.281347419;13409.5838265809;14391.6159737325;15680.0427182223;13009.1009730927;13109.7305261825;15150.9502209946;15766.3966706227;14466.9679435662;15126.4316054509;15475.5215541311;14413.788872416;14952.0908405442;16611.7133792726;21041.537602062;24468.745434352;26056.388766184;28024.7484955658;32118.1020202285;34977.389054696;31714.2443583359;29956.1563511721;31942.9424558115
New Zealand;NZL;4405200;20396.9917679477;13365.2378202302;11965.3866768738;11536.769638173;12829.050568128;14989.8852981466;17094.6181749403;18454.0784601014;17169.9722449759;14469.1518357488;15044.729779709;13375.7805215496;13625.3009478529;16579.4468611606;21537.9607777896;25005.5978084445;27354.2931869745;26172.5487113852;31694.7874510824;30611.3526953376;27196.883167663;32407.0707054988;36253.9155630836
"Bahamas; The";BHS;347176;18980.9743858866;12361.0069965017;11927.2364814353;11698.4809659807;11422.1964455248;11832.5793498072;12256.3211735186;12722.2157594729;17273.0687946744;18424.1510680694;20476.9310311986;21258.2924297247;21606.5031862761;22753.3461303266;22402.6260392455;22540.6225475712;24130.355275271;24580.1410823721;25296.3896600691;24715.6545116151;22807.4347288966;22664.8564937281;22431.0263382261
Singapore;SGP;5183700;26054.2046594154;11845.409269278;13736.8002487668;15180.3848608404;18102.9055598896;20248.7813873263;22922.1144637208;25795.7736073214;27545.2351130313;24399.9825875411;21715.0987451368;23814.5566140227;22027.1707656837;21691.2878912416;22689.5281843357;26240.5462149574;28952.80891454;31609.2717798862;36707.0570209002;34465.4826413737;35274.4563548966;41986.8258284283;46241.0244540195
Israel;ISR;7765700;19199.8176396954;11264.0183794487;11956.0089048027;12838.4181575292;12530.9983792041;13830.286754328;17310.0912113961;18464.5298657989;18586.7374391504;18392.1417576249;18088.9774463794;19859.3021470825;19093.1096577186;17195.4910643522;17739.7018423763;18588.8050496728;19330.0243549922;20624.5799542032;23274.3002897088;27591.6224201317;26032.1635135608;28522.4085829899;31282.2709008476
Cyprus;CYP;1116564;18162.3218539091;9641.5752812;9696.0995408;11310.071951;10526.141845;11617.692745;14212.054014;14133.325201;13276.732382;14069.11641;14236.941535;13421.655416;13797.145967;14862.45444;18428.928261;21380.903078;22430.60642;23863.555464;27860.276106;31928.396796;29427.908787;28779.185548;30670.313598
Greece;GRC;11304000;16810.0684642823;9190.34370952902;9775.54084844081;10687.473134345;9914.11054830176;10536.0477714523;12273.6089151752;12888.8194275132;12495.0645142714;12485.0616830813;12238.593370352;11396.2326162024;11857.7358204369;13292.3490019938;17494.4413590926;20607.1760650291;21620.7174943625;23475.2811397836;27288.3264976484;30398.7824194595;28451.9173253032;25832.2120932338;25621.6704592032
Kuwait;KWT;2818042;26636.6483147972;8826.88763739636;5420.94232360013;16703.4240041831;16703.4240041831;16703.4240041831;16703.4240041831;19343.1302366411;18078.5180591793;14711.2825154673;16218.2927270645;19434.4000155478;17362.1527100171;18426.1796687463;22510.8862208769;27148.1704518449;35687.9176566397;43191.0278873207;46866.9774410988;57842.2728259314;40022.6349715782;45436.7901807852;62664.1033790695
Slovenia;SVN;2052000;14130.1872973523;8698.90001774058;6338.55227023859;6272.25085049374;6362.77878167379;7230.92123082147;10523.7245456079;10635.427126523;10282.3214900343;10974.4889257365;11250.2158177886;10045.3600766443;10290.3160451991;11599.9019249524;14607.2004962238;16944.1895267387;17854.6353301543;19405.9332748997;23441.0006204789;27015.082379725;24051.0360705709;22897.9387563355;24141.9449831697
Puerto Rico;PRI;3706690;17152.1141851572;8652.47401074357;9064.00997610967;9659.33053216913;10212.2889328908;10876.4106030932;11579.1849969985;12173.1542921425;12817.6345882222;14304.4049868015;15220.9913420267;16192.1269719638;18123.2049867313;18731.4593897378;19557.1202492358;20698.1743342746;21669.8915203532;22641.9591644517;23368.9303361995;24623.5042673682;25454.8030830845;25862.72675443;25862.72675443
Bahrain;BHR;1323535;13676.5628235889;8581.58777270139;9110.63772800238;9142.00608137884;9768.28934146795;10209.5314064364;10462.873303984;10613.5207278691;10707.1711648868;10117.0922118851;10564.0653505159;12489.4677538348;12340.5615625852;13224.7001114441;15062.0238199625;16725.7220754989;18570.7344019822;19539.9895867815;19955.1033492036;20813.1375167254;16517.7718293823;18184.1975112138;18184.1975112138
